model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi0.30Zm1.79T00.0900_iTp0.00_baseFe.fits 1.30 -1.79000 0.09000 0.39620 2.35167 2.68778 3.39366 3.39889 3.34855 3.28390 2.98872 3.40979 3.32617 3.08504 3.11985 3.41586 3.36095 3.14314
Ebi0.30Zm1.79T00.1000_iTp0.00_baseFe.fits 1.30 -1.79000 0.10000 0.38960 2.47163 2.77305 3.43758 3.43275 3.36378 3.28318 2.89825 3.43506 3.33234 3.05562 3.09200 3.46005 3.37899 3.10900
Ebi0.30Zm1.79T00.1500_iTp0.00_baseFe.fits 1.30 -1.79000 0.15000 0.37670 3.15420 3.41013 3.96642 3.93772 3.83210 3.72762 3.26787 3.91888 3.78596 3.46110 3.49797 3.98860 3.85310 3.50996
Ebi0.30Zm1.79T00.2000_iTp0.00_baseFe.fits 1.30 -1.79000 0.20000 0.36970 3.64128 3.78740 4.26546 4.23353 4.12863 4.02736 3.58500 4.21071 4.08385 3.76920 3.80316 4.28564 4.14946 3.81551
Ebi0.30Zm1.79T00.2500_iTp0.00_baseFe.fits 1.30 -1.79000 0.25000 0.36490 3.95622 4.08270 4.50462 4.46544 4.35270 4.24831 3.80069 4.43636 4.30528 3.98762 4.02004 4.52388 4.37455 4.03150
Ebi0.30Zm1.79T00.3000_iTp0.00_baseFe.fits 1.30 -1.79000 0.30000 0.36130 4.23599 4.34962 4.71831 4.67606 4.56243 4.45958 4.01697 4.64463 4.51526 4.20522 4.23459 4.73634 4.58426 4.24545
Ebi0.30Zm1.79T00.3500_iTp0.00_baseFe.fits 1.30 -1.79000 0.35000 0.35850 4.44646 4.53728 4.87554 4.82982 4.71394 4.61110 4.17046 4.79509 4.66636 4.35918 4.38673 4.89263 4.73591 4.39788
Ebi0.30Zm1.79T00.4000_iTp0.00_baseFe.fits 1.30 -1.79000 0.40000 0.35610 4.63951 4.69959 5.02053 4.97185 4.85406 4.75108 4.30879 4.93462 4.80594 4.50060 4.52662 5.03671 4.87632 4.53752
Ebi0.30Zm1.79T00.4500_iTp0.00_baseFe.fits 1.30 -1.79000 0.45000 0.35420 4.81808 4.86009 5.16629 5.11565 4.99681 4.89454 4.45464 5.07675 4.94871 4.64591 4.67114 5.18191 5.01939 4.68238
Ebi0.30Zm1.79T00.5000_iTp0.00_baseFe.fits 1.30 -1.79000 0.50000 0.35260 4.97074 5.00375 5.28780 5.23252 5.10793 5.00251 4.55180 5.19001 5.05784 4.74944 4.77419 5.30324 5.13139 4.78441
